Product_Name,Product_Quantity,MRP_Price,Offer_Price,Vendor,Category
Bathing Soap - Ayurvedic Classic 18 Herbs,125 g,105.00,105.00,BigBasket,BathAndHandWash
Shower Gel - AromaAbsolute Relax,750 ml,380.00,323.00,BigBasket,BathAndHandWash
Shower Gel - AromaMorning Tonic,750 ml,380.00,323.00,BigBasket,BathAndHandWash
"Shower Gel - Pure Impact Body WashMen",250 ml,199.00,175.12,BigBasket,BathAndHandWash
"Shower Gel - Pure Impact Body WashMen",500 ml,349.00,279.20,BigBasket,BathAndHandWash
"Bathing Bar Soap - Aloe Vera",6x100 g,234.00,222.30,BigBasket,BathAndHandWash
"Bathing Bar Soap - Aloe Vera",9x100 g,351.00,333.45,BigBasket,BathAndHandWash
"Bathing Bar Soap - Aloe Vera",100 g,39.00,37.05,BigBasket,BathAndHandWash
Soap Bar - Soft Touch Silk Essence & Rose Water,150 g,114.00,96.90,BigBasket,BathAndHandWash
"Cream Beauty Bathing Bar",100 g,45.00,45.00,BigBasket,BathAndHandWash
"Cream Beauty Bathing Bar",6x100 g,270.00,270.00,BigBasket,BathAndHandWash
"Cream Beauty Bathing Bar Soap",8x75 g,360.00,360.00,BigBasket,BathAndHandWash
"Cream Beauty Bathing Bar",2x75 g,90.00,90.00,BigBasket,BathAndHandWash
Hand Wash - Black Orchid & Milk Imported 250ml+Natural Black Orchid & Milk 500ml,Combo,219.00,219.00,BigBasket,BathAndHandWash
Bathing Soap - Soft & Fresh,125 g,180.00,144.00,BigBasket,BathAndHandWash
Masterblaster Germ Protection Liquid Handwash Refill,1.5 L,220.00,187.00,BigBasket,BathAndHandWash
Shower Gel - Active Clean Body WashMen,250 ml,199.00,169.15,BigBasket,BathAndHandWash
"Hand Rub Sanitizer & Disinfectant - 80% Ethanol-Based",500 ml,250.00,250.00,BigBasket,BathAndHandWash
"Hand Rub Sanitizer & Disinfectant - 80% Ethanol-Based",5 L,2500.00,2500.00,BigBasket,BathAndHandWash
Total 10 Activ Naturol Germ Protection Hand Wash Refill,750 ml,189.00,189.00,BigBasket,BathAndHandWash
"Purifying Turmeric Soap",2x100 g,50.00,50.00,BigBasket,BathAndHandWash
"Purifying Turmeric Natural Ayurvedic Soap",100 g,25.00,25.00,BigBasket,BathAndHandWash
Pure & Gentle Bathing Soap,75 g,105.00,105.00,BigBasket,BathAndHandWash
Hand Sanitizer,1 L,500.00,500.00,BigBasket,BathAndHandWash
Hand Sanitizer,5 L,2500.00,2500.00,BigBasket,BathAndHandWash
"Lux International Creamy White Soap Bar",2x75 g,60.00,60.00,BigBasket,BathAndHandWash
"Lux International Creamy White Soap Bar",4x75 g,120.00,120.00,BigBasket,BathAndHandWash
"Lux International Creamy White Soap Bar",8x75 g,240.00,240.00,BigBasket,BathAndHandWash
"International Creamy Perfection Soap Bar",75 g,30.00,30.00,BigBasket,BathAndHandWash
Pure Hands Hand Sanitiser - Orange,85 ml,42.00,42.00,BigBasket,BathAndHandWash
Shower Gel - Frangipani & Oil Body WashWomen,250 ml,199.00,169.15,BigBasket,BathAndHandWash
"Dreamflower Fragrant Talc",400 g,280.00,252.00,BigBasket,BathAndHandWash
"Dreamflower Fragrant Talc",100 g,90.00,90.00,BigBasket,BathAndHandWash
"Pink/Rosa Beauty Bathing Bar",3x(3x100 g),465.00,420.00,BigBasket,BathAndHandWash
"Pink/Rosa Beauty Bathing Bar",100 g,155.00,140.00,BigBasket,BathAndHandWash
"Bathing Bar - Pink Rosa Beauty",2x(3x100 g,310.00,280.00,BigBasket,BathAndHandWash
Shower Gel - Lemon & Oil Body WashWomen,250 ml,199.00,169.15,BigBasket,BathAndHandWash
"Handwash - Mild",3x750 ml,297.00,276.21,BigBasket,BathAndHandWash
"Handwash Mild",750 ml,99.00,99.00,BigBasket,BathAndHandWash
Total 10 Hand Wash,80 ml,25.00,25.00,BigBasket,BathAndHandWash
Body Wash - Almond Cream & Hibiscus,190 ml,140.00,115.00,BigBasket,BathAndHandWash
Hand Wash - HydratingFoamingLime & Mint,250 ml,140.00,140.00,BigBasket,BathAndHandWash
Hand Wash Liquid Refill - Skincare,1.5 L,209.00,209.00,BigBasket,BathAndHandWash
"Honey & Cream Soap",125 g,45.00,45.00,BigBasket,BathAndHandWash
"Bathing Soap - Honey & Cream",4x125 g,180.00,162.00,BigBasket,BathAndHandWash
Shower Gel - Soft & Fresh,250 ml,180.00,140.00,BigBasket,BathAndHandWash
Hand Wash- HydratingFoamingRaspberry,250 ml,140.00,140.00,BigBasket,BathAndHandWash
Lime Bath Soap - 99.9% Germ Protection,100 g,124.00,115.32,BigBasket,BathAndHandWash
"Sandal & Turmeric Soap",125 g,150.00,135.00,BigBasket,BathAndHandWash
"Sandal & Turmeric Soap",125 g,300.00,270.00,BigBasket,BathAndHandWash
"Ayurvedic Bathing Soap",2x75 g,52.00,49.40,BigBasket,BathAndHandWash
"Bathing Soap - Ayurvedic",75 g,26.00,26.00,BigBasket,BathAndHandWash
"Bodywash - Aroma Therapy Absolute RelaxImported Shower Gel",2x250 ml,380.00,304.00,BigBasket,BathAndHandWash
"Shower Gel - Aroma Absolute Relax",250 ml,190.00,152.00,BigBasket,BathAndHandWash
"Shower Gel - Aroma Absolute Relax",3x250 ml,570.00,456.00,BigBasket,BathAndHandWash
Antibacterial Hand Sanitizer - 72% Alcohol Based SanitizerNon-StickyGentle On Hands,500 ml,250.00,250.00,BigBasket,BathAndHandWash
