Product_Name,Product_Quantity,MRP_Price,Offer_Price,Vendor,Category
Organic - Chilli Powder 200Gm + Turmeric Powder 200Gm + Coriander Powder 200Gm,Combo,271.00,189.70,BigBasket,DalsAndPulses
Organic - Mixed Dal,1 kg,200.00,159.00,BigBasket,DalsAndPulses
Urad Dal - Split,1 kg,130.00,118.00,BigBasket,DalsAndPulses
Soya - Granules,200 g,45.00,45.00,BigBasket,DalsAndPulses
Soya Chunks - Nano,200 g,48.00,48.00,BigBasket,DalsAndPulses
"Organic Barnyard Millet/Kudiraivali Rice",2 kg,275.00,225.00,BigBasket,DalsAndPulses
"Organic Barnyard Millet/Kudiraivali Rice",500 g,79.00,57.00,BigBasket,DalsAndPulses
"Organic Barnyard Millet/Kudiraivali Rice",1 kg,149.00,110.00,BigBasket,DalsAndPulses
"Moth Whole/Matki",500 g,75.00,75.00,BigBasket,DalsAndPulses
"Matki/Moth - Whole",200 g,32.00,32.00,BigBasket,DalsAndPulses
Brown Chana,500 g,65.00,65.00,BigBasket,DalsAndPulses
"Organic Rajma Chitra",500 g,110.00,84.00,BigBasket,DalsAndPulses
"Organic Rajma Chitra",1 kg,199.00,160.00,BigBasket,DalsAndPulses
Jowar,1 kg,90.00,73.00,BigBasket,DalsAndPulses
Mini Soya Chunks,200 g,50.00,49.50,BigBasket,DalsAndPulses
Kabuli Chana - Pesticide Free,500 g,80.00,69.00,BigBasket,DalsAndPulses
"Organic Jowar/Sorghum Millet",500 g,48.00,48.00,BigBasket,DalsAndPulses
"Organic Jowar/Sorghum Millet",1 kg,80.00,75.00,BigBasket,DalsAndPulses
"Organic - Bajra Wild / Pearl Millet",500 g,38.00,34.00,BigBasket,DalsAndPulses
"Organic - Bajra Wild / Pearl Millet",1 kg,75.00,65.00,BigBasket,DalsAndPulses
Soya Bean,200 g,30.00,30.00,BigBasket,DalsAndPulses
